name,id,description,image
Red Forman (That 70's Show),T7S8,"Frank, Never Cries, Straight, Masculine, Cynical, Direct",https://openpsychometrics.org/tests/characters/test-resources/pics/T7S/8.jpg
Jackie Burkhart (That 70's Show),T7S2,"Manicured, Feminine, Chatty, Beautiful, Privileged, Bossy, Overspender",https://openpsychometrics.org/tests/characters/test-resources/pics/T7S/2.jpg
Leonard Hofstadter (The Big Bang Theory),BBT1,"Bookish, Nerd, Intellectual, High Iq, 🧠, Scientific",https://openpsychometrics.org/tests/characters/test-resources/pics/BBT/1.jpg
Ola Nyman (Sex Education),SE10,"Feminist, Queer, Liberal, Open-Minded, Political, Love-Focused",https://openpsychometrics.org/tests/characters/test-resources/pics/SE/10.jpg
Ty Lee (Avatar: The Last Airbender),ALA9,"Vibrant, Active, Sunny, Summer, Flexible, Playful",https://openpsychometrics.org/tests/characters/test-resources/pics/ALA/9.jpg
Robert California (The Office),TO15,"Bold, Privileged, Arrogant, Sexual, Narcissistic, Entitled",https://openpsychometrics.org/tests/characters/test-resources/pics/TO/15.jpg
Bernadette Rostenkowski (The Big Bang Theory),BBT7,"Short, High Iq, Competent, Valedictorian, Driven, Persistent",https://openpsychometrics.org/tests/characters/test-resources/pics/BBT/7.jpg
Bob Pinciotti (That 70's Show),T7S10,"Chatty, Cheesy, Italian, Goof-Off, Dunce, Loud",https://openpsychometrics.org/tests/characters/test-resources/pics/T7S/10.jpg
Maeve Wiley (Sex Education),SE3,"Feminist, F***-The-Police, Atheist, Genius, Beautiful, Attractive",https://openpsychometrics.org/tests/characters/test-resources/pics/SE/3.jpg
Homer Simpson (The Simpsons),S1,"Disorganized, Impulsive, Messy, 🛌, Loud, Goof-Off",https://openpsychometrics.org/tests/characters/test-resources/pics/S/1.jpg
Lisa Simpson (The Simpsons),S4,"Bookish, Intellectual, High Iq, Nerd, Diligent, Self-Disciplined, Driven, Valedictorian",https://openpsychometrics.org/tests/characters/test-resources/pics/S/4.jpg
Lily Iglehart (Sex Education),SE9,"🦄, Multicolored, Creative, Imaginative, 👽, 🎨",https://openpsychometrics.org/tests/characters/test-resources/pics/SE/9.jpg
Sheldon Cooper (The Big Bang Theory),BBT2,"Bookish, Scientific, Intellectual, Nerd, High Iq, 🧠",https://openpsychometrics.org/tests/characters/test-resources/pics/BBT/2.jpg
Penny (The Big Bang Theory),BBT3,"Sexual, Extrovert, 💃, Chatty, Playful, Summer",https://openpsychometrics.org/tests/characters/test-resources/pics/BBT/3.jpg
Jean Milburn (Sex Education),SE2,"Queen, Egalitarian, Open To New Experinces, Open-Minded, Liberal, Attractive",https://openpsychometrics.org/tests/characters/test-resources/pics/SE/2.jpg
Veronica Lodge (Riverdale),RD3,"Rich, Bold, City-Slicker, Main Character, Sexual, Feminine, Playful",https://openpsychometrics.org/tests/characters/test-resources/pics/RD/3.jpg
Mercedes Jones (Glee),GLEE8,"Musical, Rhythmic, Beautiful, Badass, Feminist, Bold",https://openpsychometrics.org/tests/characters/test-resources/pics/GLEE/8.jpg
Anna (Frozen),FR1,"Love-Focused, Kind, Family-First, Flower Child, Soulful, Emotional",https://openpsychometrics.org/tests/characters/test-resources/pics/FR/1.jpg
Amy Farrah Fowler (The Big Bang Theory),BBT8,"High Iq, Bookish, Nerd, Valedictorian, Genius, Scientific",https://openpsychometrics.org/tests/characters/test-resources/pics/BBT/8.jpg
Raj Koothrappali (The Big Bang Theory),BBT5,"Nerd, Bookish, 🧠, Lover, Gamer, High-Tech",https://openpsychometrics.org/tests/characters/test-resources/pics/BBT/5.jpg
Chidi Anagonye (The Good Place),GP2,"Bookish, Nerd, Intellectual, Valedictorian, High Iq, Thinker",https://openpsychometrics.org/tests/characters/test-resources/pics/GP/2.jpg
Adam Groff (Sex Education),SE5,"Guarded, Reclusive, Reserved, Tall, Love-Focused, Slow-Talking",https://openpsychometrics.org/tests/characters/test-resources/pics/SE/5.jpg
Eleanor Shellstrop (The Good Place),GP1,"Funny, Playful, Main Character, F***-The-Police, Bold, Rebellious",https://openpsychometrics.org/tests/characters/test-resources/pics/GP/1.jpg
Howard Wolowitz (The Big Bang Theory),BBT4,"Nerd, Bookish, 🧠, High-Tech, Dorky, Technophile",https://openpsychometrics.org/tests/characters/test-resources/pics/BBT/4.jpg
Marge Simpson (The Simpsons),S3,"Family-First, Loyal, Kind, Diligent, Nurturing, 🌟",https://openpsychometrics.org/tests/characters/test-resources/pics/S/3.jpg
Tahani Al-Jamil (The Good Place),GP3,"Rich, Extravagant, Manicured, Feminine, Beautiful, Stylish",https://openpsychometrics.org/tests/characters/test-resources/pics/GP/3.jpg
SpongeBob SquarePants (SpongeBob SquarePants),SBSP1,"Extrovert, Chatty, Optimistic, Happy, Sunny, Summer",https://openpsychometrics.org/tests/characters/test-resources/pics/SBSP/1.jpg
Nelson Muntz (The Simpsons),S10,"Mischievous, Physical, Rebellious, Scruffy, Insulting, 💪",https://openpsychometrics.org/tests/characters/test-resources/pics/S/10.jpg
Bart Simpson (The Simpsons),S2,"Mischievous, Rebellious, Spontaneous, Playful, Chaotic, Playful",https://openpsychometrics.org/tests/characters/test-resources/pics/S/2.jpg
Principal Skinner (The Simpsons),S15,"Basic, Conventional, Side Character, Scheduled, Obedient, Stick-In-The-Mud",https://openpsychometrics.org/tests/characters/test-resources/pics/S/15.jpg
Jason Mendoza (The Good Place),GP5,"Spontaneous, Disorganized, Juvenile, Chaotic, Impulsive, Goof-Off",https://openpsychometrics.org/tests/characters/test-resources/pics/GP/5.jpg
Krusty the Clown (The Simpsons),S11,"Loud, Scandalous, Flamboyant, Mischievous, Money-Focused, Chaotic",https://openpsychometrics.org/tests/characters/test-resources/pics/S/11.jpg
Cheryl Blossom (Riverdale),RD6,"Rich, Bold, Fire, Playful, Bossy, Opinionated, Competitive",https://openpsychometrics.org/tests/characters/test-resources/pics/RD/6.jpg
Jughead Jones (Riverdale),RD4,"Bookish, 🎨, Night Owl, Poor, Literary, F***-The-Police",https://openpsychometrics.org/tests/characters/test-resources/pics/RD/4.jpg
Archie Andrews (Riverdale),RD1,"Dog Person, Sporty, Masculine, Orange, 🧢, Jock",https://openpsychometrics.org/tests/characters/test-resources/pics/RD/1.jpg
Eric Effiong (Sex Education),SE4,"Queer, Expressive, Creative, 🎨, Multicolored, Liberal",https://openpsychometrics.org/tests/characters/test-resources/pics/SE/4.jpg
Michael (The Good Place),GP6,"Motivated, Driven, Tall, Intellectual, Bookish, Old",https://openpsychometrics.org/tests/characters/test-resources/pics/GP/6.jpg
Betty Cooper (Riverdale),RD2,"Workaholic, Overachiever, High Iq, Valedictorian, Beautiful, Diligent",https://openpsychometrics.org/tests/characters/test-resources/pics/RD/2.jpg
Otis Milburn (Sex Education),SE1,"🧠, 🚴, Nerd, Bookish, Protagonist, Skeptical",https://openpsychometrics.org/tests/characters/test-resources/pics/SE/1.jpg
Janet (The Good Place),GP4,"Knowledgeable, High Iq, Factual, On-Time, Diligent, High-Tech",https://openpsychometrics.org/tests/characters/test-resources/pics/GP/4.jpg
Midge Pinciotti (That 70's Show),T7S9,"Feminine, Head@Clouds, Oblivious, Flower Child, Manicured, Summer",https://openpsychometrics.org/tests/characters/test-resources/pics/T7S/9.jpg
Jackson Marchetti (Sex Education),SE6,"Egalitarian, Manicured, 👟, Active, Beautiful, English",https://openpsychometrics.org/tests/characters/test-resources/pics/SE/6.jpg
Ned Flanders (The Simpsons),S7,"Theist, Obedient, Neat, Spiritual, Well Behaved, Self-Disciplined",https://openpsychometrics.org/tests/characters/test-resources/pics/S/7.jpg
Kevin Keller (Riverdale),RD5,"Queer, 🦄, Feminist, Love-Focused, Preppy, Flower Child",https://openpsychometrics.org/tests/characters/test-resources/pics/RD/5.jpg
Mr. Burns (The Simpsons),S6,"Money-Focused, Old, Selfish, Work-First, Rich, Cold",https://openpsychometrics.org/tests/characters/test-resources/pics/S/6.jpg
Jerry Seinfeld (Seinfeld),SF1,"Main Character, Urban, City-Slicker, Funny, Sarcastic, Comedic",https://openpsychometrics.org/tests/characters/test-resources/pics/SF/1.jpg
Milhouse Van Houten (The Simpsons),S8,"Nerd, Submissive, Beta, Weakass, First-Mate, Bookish",https://openpsychometrics.org/tests/characters/test-resources/pics/S/8.jpg
Aimee Gibbs (Sex Education),SE7,"Chatty, Summer, Flower Child, Sweet, Not Genocidal, Soulful",https://openpsychometrics.org/tests/characters/test-resources/pics/SE/7.jpg
Hans (Frozen),FR5,"Two-Faced, Traitorous, Villainous, Selfish, Punchable, Entitled",https://openpsychometrics.org/tests/characters/test-resources/pics/FR/5.jpg
George Costanza (Seinfeld),SF2,"Opinionated, Short, Anxious, Self-Destructive, Exaggerating, Tense, Nerd",https://openpsychometrics.org/tests/characters/test-resources/pics/SF/2.jpg
Hakoda (Avatar: The Last Airbender),ALA10,"Water, Loyal, Not Genocidal, Heroic, Love-Focused, Respectful",https://openpsychometrics.org/tests/characters/test-resources/pics/ALA/10.jpg
Elaine Benes (Seinfeld),SF3,"Opinionated, Chatty, City-Slicker, Expressive, Urban, Loud",https://openpsychometrics.org/tests/characters/test-resources/pics/SF/3.jpg
Ron Weasley (Harry Potter),HP1,"Loyal, Family-First, Heroic, Messy, First-Mate, Orange",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/1.jpg
Cosmo Kramer (Seinfeld),SF4,"Twitchy, Weird, Quirky, Random, Chaotic, Experimental",https://openpsychometrics.org/tests/characters/test-resources/pics/SF/4.jpg
Minerva McGonagall (Harry Potter),HP6,"Competent, Cat Person, Knowledgeable, Loyal, Diligent, High Iq",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/6.jpg
Moe Szyslak (The Simpsons),S9,"Night Owl, Depressed, Pessimistic, Blue-Collar, Desperate, Low-Tech",https://openpsychometrics.org/tests/characters/test-resources/pics/S/9.jpg
Rachel Berry (Glee),GLEE3,"Dramatic, Dramatic, Opinionated, Demanding, Loud, Motivated",https://openpsychometrics.org/tests/characters/test-resources/pics/GLEE/3.jpg
Elsa (Frozen),FR2,"Winter, Rich, Beautiful, Feminist, Queen, Important",https://openpsychometrics.org/tests/characters/test-resources/pics/FR/2.jpg
Draco Malfoy (Harry Potter),HP10,"Arrogant, Competitive, Rich, Judgemental, Quarrelsome, Receiving",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/10.jpg
Michael Groff (Sex Education),SE8,"Vintage, Serious, Tense, Guarded, Conservative, Rigid",https://openpsychometrics.org/tests/characters/test-resources/pics/SE/8.jpg
Artie Abrams (Glee),GLEE5,"Nerd, Bookish, 🧠, High Iq, Intellectual, 🎨",https://openpsychometrics.org/tests/characters/test-resources/pics/GLEE/5.jpg
Waylon Smithers (The Simpsons),S13,"Nerd, Submissive, Beta, Loyal, Neat, Obedient",https://openpsychometrics.org/tests/characters/test-resources/pics/S/13.jpg
Tina Cohen-Chang (Glee),GLEE7,"🎨, Side Character, Bookish, Nerd, Beautiful, First-Mate",https://openpsychometrics.org/tests/characters/test-resources/pics/GLEE/7.jpg
Rubeus Hagrid (Harry Potter),HP4,"Kind, Loyal, Tall, Soulful, Scruffy, Warm",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/4.jpg
Barney Gumble (The Simpsons),S14,"Scruffy, Messy, Indulgent, Disorganized, Slothful, Slovenly",https://openpsychometrics.org/tests/characters/test-resources/pics/S/14.jpg
Will Schuester (Glee),GLEE4,"🎨, Touchy-Feely, Artistic, Involved, Cheesy, Flower Child",https://openpsychometrics.org/tests/characters/test-resources/pics/GLEE/4.jpg
Mr. Krabs (SpongeBob SquarePants),SBSP4,"Money-Focused, 🤑, Receiving, Arrogant, Competitive, Bossy",https://openpsychometrics.org/tests/characters/test-resources/pics/SBSP/4.jpg
Sue Sylvester (Glee),GLEE2,"Opinionated, Competitive, Bold, Bossy, Intense, Cocky",https://openpsychometrics.org/tests/characters/test-resources/pics/GLEE/2.jpg
Luna Lovegood (Harry Potter),HP9,"Kind, Open To New Experinces, Creative, Love-Focused, 🎨, Loyal",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/9.jpg
Stuart Bloom (The Big Bang Theory),BBT9,"Bookish, Desperate, Nerd, Beta, Side Character, Often Crying",https://openpsychometrics.org/tests/characters/test-resources/pics/BBT/9.jpg
Troy Barnes (Community),C4,"Funny, Sunny, Loyal, 😜, Vibrant, Playful",https://openpsychometrics.org/tests/characters/test-resources/pics/C/4.jpg
Abed Nadir (Community),C3,"Nerd, Analysis, 🧠, High Iq, Intellectual, Gamer",https://openpsychometrics.org/tests/characters/test-resources/pics/C/3.jpg
Patrick Star (SpongeBob SquarePants),SBSP2,"Slacker, Goof-Off, Juvenile, Sunny, Drop Out, Open",https://openpsychometrics.org/tests/characters/test-resources/pics/SBSP/2.jpg
Squidward Tentacles (SpongeBob SquarePants),SBSP3,"Pessimistic, Stick-In-The-Mud, Miserable, Scheduled, Unmotivated, Neat",https://openpsychometrics.org/tests/characters/test-resources/pics/SBSP/3.jpg
Sirius Black (Harry Potter),HP30,"Badass, Loyal, Adventurous, Rebellious, F***-The-Police, Charismatic",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/30.jpg
Arthur Weasley (Harry Potter),HP21,"Loyal, Kind, Devoted, Reassuring, Heroic, Soulful",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/21.jpg
Apu Nahasapeemapetilon (The Simpsons),S5,"Summer, Blue-Collar, Works Hard, Workaholic, Side Character, Penny-Pincher",https://openpsychometrics.org/tests/characters/test-resources/pics/S/5.jpg
Dolores Umbridge (Harry Potter),HP23,"Cruel, Psychopath, Punchable, 😈, Strict, Vengeful",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/23.jpg
Hermione Granger (Harry Potter),HP3,"High Iq, Competent, Diligent, Motivated, Self-Disciplined, Persistent",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/3.jpg
Sandy Cheeks (SpongeBob SquarePants),SBSP5,"High-Tech, Active, High Iq, Independent, Open To New Experinces, Patriotic",https://openpsychometrics.org/tests/characters/test-resources/pics/SBSP/5.jpg
Kristoff (Frozen),FR3,"🥾, Loyal, Kind, Heroic, Devoted, Country-Bumpkin",https://openpsychometrics.org/tests/characters/test-resources/pics/FR/3.jpg
Jeff Winger (Community),C1,"Cocky, Sexual, Skeptical, City-Slicker, Arrogant, Bold",https://openpsychometrics.org/tests/characters/test-resources/pics/C/1.jpg
Kurt Hummel (Glee),GLEE1,"Queer, 🎨, 🦄, Manicured, 🎩, Metrosexual, Artistic",https://openpsychometrics.org/tests/characters/test-resources/pics/GLEE/1.jpg
Dobby (Harry Potter),HP27,"Short, Emotional, Devoted, Loyal, Kind, Love-Focused",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/27.jpg
Walter White (Breaking Bad),BB1,"Perceptive, Secretive, Motivated, High Iq, Driven, Persistent",https://openpsychometrics.org/tests/characters/test-resources/pics/BB/1.jpg
Lord Voldemort (Harry Potter),HP12,"Vengeful, Genocidal, Cruel, Intense, Villainous, Entitled",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/12.jpg
Santana Lopez (Glee),GLEE6,"Queen, Beautiful, Badass, Bold, Cocky, Fire",https://openpsychometrics.org/tests/characters/test-resources/pics/GLEE/6.jpg
Albus Dumbledore (Harry Potter),HP5,"Master, 🧙, High Iq, Intellectual, Pro, Old",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/5.jpg
Daryl Dixon (The Walking Dead),WD8,"Badass, Scruffy, F***-The-Police, Pro, Important, Resourceful",https://openpsychometrics.org/tests/characters/test-resources/pics/WD/8.jpg
Severus Snape (Harry Potter),HP7,"Serious, Secretive, Bookish, Guarded, Reserved, Sorrowful",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/7.jpg
Shirley Bennett (Community),C6,"Theist, Gendered, Queen, Devout, Spiritual, Soulful",https://openpsychometrics.org/tests/characters/test-resources/pics/C/6.jpg
George Weasley (Harry Potter),HP18,"Good-Humored, Funny, Open To New Experinces, Playful, Adventurous, Playful",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/18.jpg
Bellatrix Lestrange (Harry Potter),HP28,"Psychopath, Mischievous, Cruel, Goth, Vengeful, Extreme",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/28.jpg
Jesse Pinkman (Breaking Bad),BB3,"Punk Rock, Important, F***-The-Police, Emotional, Scruffy, Messy",https://openpsychometrics.org/tests/characters/test-resources/pics/BB/3.jpg
Alastor Moody (Harry Potter),HP19,"Scruffy, Masculine, Street-Smart, Bold, Never Cries, Rugged",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/19.jpg
Derrial Book (Firefly + Serenity),FS8,"Self-Disciplined, Theist, Mature, Devoted, Sage, Egalitarian",https://openpsychometrics.org/tests/characters/test-resources/pics/FS/8.jpg
Olaf (Frozen),FR4,"Kind, Chatty, Good-Humored, Loyal, 😜, Open To New Experinces",https://openpsychometrics.org/tests/characters/test-resources/pics/FR/4.jpg
Harry Potter (Harry Potter),HP2,"Loyal, Persistent, English, Protagonist, Main Character, Heroic",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/2.jpg
Britta Perry (Community),C2,"Opinionated, Feminist, Stubborn, Atheist, Contrarian, Political, Vegan",https://openpsychometrics.org/tests/characters/test-resources/pics/C/2.jpg
Moaning Myrtle (Harry Potter),HP25,"Often Crying, Moody, Side Character, Emotional, Nerd, Dramatic",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/25.jpg
Mike Ehrmantraut (Breaking Bad),BB9,"Badass, Confidential, Street-Smart, Self-Disciplined, Masculine, Competent",https://openpsychometrics.org/tests/characters/test-resources/pics/BB/9.jpg
Jayne Cobb (Firefly + Serenity),FS7,"💪, Physical, Gendered, Rugged, Unpolished, Sporty, Frank",https://openpsychometrics.org/tests/characters/test-resources/pics/FS/7.jpg
Craig Pelton (Community),C8,"Touchy-Feely, Flamboyant, Nerd, Chatty, Queer, Often Crying",https://openpsychometrics.org/tests/characters/test-resources/pics/C/8.jpg
Hank Schrader (Breaking Bad),BB4,"Straight, Masculine, 🏀, Sheriff, Gendered, Patriotic",https://openpsychometrics.org/tests/characters/test-resources/pics/BB/4.jpg
Kaylee Frye (Firefly + Serenity),FS4,"Not Genocidal, Kind, Loyal, 👨‍🔧, Warm, Loveable",https://openpsychometrics.org/tests/characters/test-resources/pics/FS/4.jpg
Ben Chang (Community),C9,"Mischievous, Weird, Wild, Chaotic, Freak, Extreme",https://openpsychometrics.org/tests/characters/test-resources/pics/C/9.jpg
Noah Puckerman (Glee),GLEE9,"Sexual, Rebellious, Jock, Sporty, Masculine, F***-The-Police",https://openpsychometrics.org/tests/characters/test-resources/pics/GLEE/9.jpg
Gus Fring (Breaking Bad),BB8,"Self-Disciplined, Diligent, On-Time, Coordinated, Driven, High Iq",https://openpsychometrics.org/tests/characters/test-resources/pics/BB/8.jpg
Glenn Rhee (The Walking Dead),WD6,"Heroic, Loyal, 🌟, Kind, One-Faced, Treasure",https://openpsychometrics.org/tests/characters/test-resources/pics/WD/6.jpg
Mary Cooper (The Big Bang Theory),BBT10,"Non-Gamer, Theist, Devout, Side Character, Spiritual, 🤠",https://openpsychometrics.org/tests/characters/test-resources/pics/BBT/10.jpg
Leslie Winkle (The Big Bang Theory),BBT6,"Side Character, High Iq, Direct, Cynical, Competitive, Skeptical, Sarcastic",https://openpsychometrics.org/tests/characters/test-resources/pics/BBT/6.jpg
Molly Weasley (Harry Potter),HP11,"Family-First, Loyal, Love-Focused, Soulful, Warm, Heroic",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/11.jpg
Dr. Gregory House (House),H1,"Main Character, High Iq, Stubborn, Rebellious, Master, Unorthodox",https://openpsychometrics.org/tests/characters/test-resources/pics/H/1.jpg
Merle Dixon (The Walking Dead),WD10,"Mischievous, Scruffy, Masculine, Outlaw, Quarrelsome, Rough",https://openpsychometrics.org/tests/characters/test-resources/pics/WD/10.jpg
Inara Serra (Firefly + Serenity),FS3,"Manicured, Charming, Beautiful, Sexual, Attractive, Feminine, Stylish",https://openpsychometrics.org/tests/characters/test-resources/pics/FS/3.jpg
Hoban Washburne (Firefly + Serenity),FS6,"Devoted, Funny, Loyal, Not Genocidal, Heroic, One-Faced",https://openpsychometrics.org/tests/characters/test-resources/pics/FS/6.jpg
Pierce Hawthorne (Community),C7,"Entitled, Sexist, Privileged, Arrogant, Interrupting, Stubborn",https://openpsychometrics.org/tests/characters/test-resources/pics/C/7.jpg
Skyler White (Breaking Bad),BB2,"Non-Gamer, Dramatic, Offended, Tense, Straight, Miserable",https://openpsychometrics.org/tests/characters/test-resources/pics/BB/2.jpg
Annie Edison (Community),C5,"Diligent, On-Time, Preppy, Overachiever, Feminine, Motivated",https://openpsychometrics.org/tests/characters/test-resources/pics/C/5.jpg
Dr. Robert Chase (House),H5,"Privileged, Young, 👨‍⚕️, Beautiful, Sexual, Preppy",https://openpsychometrics.org/tests/characters/test-resources/pics/H/5.jpg
Ginny Weasley (Harry Potter),HP8,"Loyal, Heroic, Kind, Young, Devoted, Egalitarian",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/8.jpg
Dr. James Wilson (House),H3,"Loyal, Knowledgeable, 👨‍⚕️, Respectful, Empath, Valedictorian",https://openpsychometrics.org/tests/characters/test-resources/pics/H/3.jpg
Petunia Dursley (Harry Potter),HP24,"Non-Gamer, Stick-In-The-Mud, Conventional, Judgemental, Uncreative, Tense, Side Character",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/24.jpg
Angel Batista (Dexter),D6,"Summer, Not Genocidal, 💃, Gendered, Soulful, Sexual",https://openpsychometrics.org/tests/characters/test-resources/pics/D/6.jpg
The Joker (The Dark Knight),DK3,"Rebellious, Mischievous, Extreme, Bold, Freelance, Wild, Persistent",https://openpsychometrics.org/tests/characters/test-resources/pics/DK/3.jpg
Viktor Krum (Harry Potter),HP15,"Sporty, Masculine, 🏀, Russian, Active, 💪",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/15.jpg
Remus Lupin (Harry Potter),HP20,"Loyal, High Iq, Love-Focused, Heroic, Kind, Diligent",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/20.jpg
Filius Flitwick (Harry Potter),HP16,"Short, Bookish, Nerd, Intellectual, Side Character, 🧠",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/16.jpg
Cho Chang (Harry Potter),HP13,"Side Character, Feminine, Manicured, Civilized, Young, Refined, Studious",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/13.jpg
Edna Krabappel (The Simpsons),S12,"Side Character, Sarcastic, Cat Person, Gossiping, Pessimistic, Bookish",https://openpsychometrics.org/tests/characters/test-resources/pics/S/12.jpg
Carol Peletier (The Walking Dead),WD9,"Diligent, Perceptive, Persistent, Rock, Feminist, 🧗",https://openpsychometrics.org/tests/characters/test-resources/pics/WD/9.jpg
Brittany Pierce (Glee),GLEE10,"🦄, 💃, Fantastical, Imaginative, Optimistic, Playful",https://openpsychometrics.org/tests/characters/test-resources/pics/GLEE/10.jpg
Rita Skeeter (Harry Potter),HP26,"Gossiping, Judgemental, Work-First, Competitive, Arrogant, Mischievous",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/26.jpg
Rick Grimes (The Walking Dead),WD1,"Main Character, Persistent, Motivated, Diligent, Straight, Captain",https://openpsychometrics.org/tests/characters/test-resources/pics/WD/1.jpg
Dr. Eric Foreman (House),H4,"👨‍⚕️, High Iq, Gendered, Realistic, Scientific, Studious, Diligent",https://openpsychometrics.org/tests/characters/test-resources/pics/H/4.jpg
Dr. Lisa Cuddy (House),H2,"Valedictorian, Pointed, On-Time, Workaholic, Manicured, Diligent, Overachiever",https://openpsychometrics.org/tests/characters/test-resources/pics/H/2.jpg
Debra Morgan (Dexter),D3,"Demanding, Workaholic, Frank, Driven, Persistent, Feisty",https://openpsychometrics.org/tests/characters/test-resources/pics/D/3.jpg
River Tam (Firefly + Serenity),FS2,"High Iq, Extraordinary, Genius, Weird, Chosen One, Haunted",https://openpsychometrics.org/tests/characters/test-resources/pics/FS/2.jpg
Malcolm Reynolds (Firefly + Serenity),FS1,"Captain, Freelance, F***-The-Police, Main Character, Street-Smart, Rebellious",https://openpsychometrics.org/tests/characters/test-resources/pics/FS/1.jpg
Carl Grimes (The Walking Dead),WD7,"🤠, Young, Egalitarian, Love-Focused, Loyal, Devoted",https://openpsychometrics.org/tests/characters/test-resources/pics/WD/7.jpg
Dr. Allison Cameron (House),H6,"On-Time, Not Genocidal, 👨‍⚕️, Studious, Beautiful, Diligent",https://openpsychometrics.org/tests/characters/test-resources/pics/H/6.jpg
Ian Duncan (Community),C10,"Nerd, Side Character, Dorky, Bookish, Weakass, Cheesy",https://openpsychometrics.org/tests/characters/test-resources/pics/C/10.jpg
Zoe Washburne (Firefly + Serenity),FS5,"Badass, Pro, Competent, Devoted, Resourceful, Loyal",https://openpsychometrics.org/tests/characters/test-resources/pics/FS/5.jpg
Flynn White (Breaking Bad),BB6,"Boy/Girl-Next-Door, Young, Stuttering, Slow-Talking, Family-First, English",https://openpsychometrics.org/tests/characters/test-resources/pics/BB/6.jpg
Saul Goodman (Breaking Bad),BB7,"Money-Focused, Backdoor, Street-Smart, Chatty, Cocky, Forward-Thinking",https://openpsychometrics.org/tests/characters/test-resources/pics/BB/7.jpg
Shane Walsh (The Walking Dead),WD2,"🏀, Stubborn, Masculine, Jock, Dog Person, Bold",https://openpsychometrics.org/tests/characters/test-resources/pics/WD/2.jpg
Lori Grimes (The Walking Dead),WD3,"Dramatic, Straight, Gendered, Sexual, Two-Faced, 💀",https://openpsychometrics.org/tests/characters/test-resources/pics/WD/3.jpg
Simon Tam (Firefly + Serenity),FS9,"Manicured, 👨‍⚕️, Bookish, Valedictorian, 🧠, High Iq",https://openpsychometrics.org/tests/characters/test-resources/pics/FS/9.jpg
Bruce Wayne (The Dark Knight),DK1,"Rich, Celebrity, High-Tech, Motivated, Driven, 🦇",https://openpsychometrics.org/tests/characters/test-resources/pics/DK/1.jpg
Dexter Morgan (Dexter),D1,"Diligent, Secretive, Confidential, Pointed, Main Character, Private, Guarded",https://openpsychometrics.org/tests/characters/test-resources/pics/D/1.jpg
Alfred Pennyworth (The Dark Knight),DK2,"Loyal, Civilized, Devoted, English, Diligent, Self-Disciplined",https://openpsychometrics.org/tests/characters/test-resources/pics/DK/2.jpg
Rita Bennett (Dexter),D2,"Feminine, Summer, Flower Child, Family-First, Beautiful, Gendered",https://openpsychometrics.org/tests/characters/test-resources/pics/D/2.jpg
Harvey Dent (The Dark Knight),DK5,"Driven, Political, Diligent, Haunted, Intense, Active",https://openpsychometrics.org/tests/characters/test-resources/pics/DK/5.jpg
Nymphadora Tonks (Harry Potter),HP29,"Adventurous, Feminist, Open To New Experinces, Loyal, Motivated, Badass",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/29.jpg
Lucius Fox (The Dark Knight),DK7,"High Iq, High-Tech, Competent, Knowledgeable, Diligent, Genius",https://openpsychometrics.org/tests/characters/test-resources/pics/DK/7.jpg
Olivia Benson (Law & Order: SVU),SVU1,"Main Character, Persistent, Diligent, Motivated, Competent, Driven, Important",https://openpsychometrics.org/tests/characters/test-resources/pics/SVU/1.jpg
Odafin Tutuola (Law & Order: SVU),SVU5,"Street-Smart, Masculine, Badass, Devoted, Loyal, Straight",https://openpsychometrics.org/tests/characters/test-resources/pics/SVU/5.jpg
Fleur Delacour (Harry Potter),HP14,"French, Feminine, Manicured, Eloquent, Civilized, Refined",https://openpsychometrics.org/tests/characters/test-resources/pics/HP/14.jpg
Maria LaGuerta (Dexter),D5,"Driven, Pointed, Two-Faced, Workaholic, Motivated, Ocd",https://openpsychometrics.org/tests/characters/test-resources/pics/D/5.jpg
